Haverst period,Country,Product Type,Indicator,Tonnes
1993/94,Mexico,OO,E,0.0
1993/94,Mexico,OO,I,2.0
1993/94,Mexico,OO,P,3.0
1993/94,Montenegro,OO,C,2.0
1993/94,Montenegro,OO,E,0.0
1993/94,Montenegro,OO,I,0.0
1993/94,Montenegro,OO,P,2.0
1993/94,Morocco,OO,C,45.5
1993/94,Morocco,OO,E,0.0
1993/94,Morocco,OO,I,2.0
1993/94,Morocco,OO,P,40.0
1993/94,Netherlands,OO,C,3.2
1993/94,Netherlands,OO,E,0.1
1993/94,Netherlands,OO,I,0.1
1993/94,Netherlands,TO,C,3.6
1993/94,Netherlands,TO,E,0.2
1993/94,Netherlands,TO,I,1.3
1993/94,Oth.non-prod.,OO,C,30.0
1993/94,Oth.non-prod.,OO,I,30.0
1993/94,Other pr.coun.,OO,C,10.0
1993/94,Other pr.coun.,OO,E,0.5
1993/94,Other pr.coun.,OO,I,3.0
1993/94,Other pr.coun.,OO,P,7.0
1993/94,Palestine,OO,C,8.0
1993/94,Palestine,OO,E,1.0
1993/94,Palestine,OO,I,0.0
1993/94,Palestine,OO,P,1.0
1993/94,Portugal,OO,C,59.0
1993/94,Portugal,OO,E,10.5
1993/94,Portugal,OO,I,4.4
1993/94,Portugal,OO,P,32.1
1993/94,Portugal,TO,C,18.0
1993/94,Portugal,TO,E,3.0
1993/94,Portugal,TO,I,0.0
1993/94,Portugal,TO,P,16.0
1993/94,Russia,OO,C,6.0
1993/94,Russia,OO,I,6.0
1993/94,Saudi Arabia,OO,C,5.0
1993/94,Saudi Arabia,OO,E,0.0
1993/94,Saudi Arabia,OO,I,5.0
1993/94,Spain,OO,C,421.0
1993/94,Spain,OO,E,54.6
1993/94,Spain,OO,I,54.0
1993/94,Spain,OO,P,550.9
1993/94,Spain,TO,C,120.0
1993/94,Spain,TO,E,73.8
1993/94,Spain,TO,I,2.2
1993/94,Spain,TO,P,205.2
1993/94,Switzerland,OO,C,3.0
1993/94,Switzerland,OO,E,0.0
1993/94,Switzerland,OO,I,3.0
1993/94,Syria,OO,C,69.0
1993/94,Syria,OO,E,0.0
1993/94,Syria,OO,I,0.0
1993/94,Syria,OO,P,65.0
1993/94,Tunisia,OO,C,56.0
1993/94,Tunisia,OO,E,178.0
1993/94,Tunisia,OO,I,0.0
1993/94,Tunisia,OO,P,235.0
1993/94,Türkiye,OO,C,54.0
1993/94,Türkiye,OO,E,9.0
1993/94,Türkiye,OO,I,0.0
1993/94,Türkiye,OO,P,48.0
1993/94,United King.,OO,C,16.8
1993/94,United King.,OO,E,0.2
1993/94,United King.,OO,I,0.0
1993/94,United King.,TO,C,3.7
1993/94,United King.,TO,E,0.0
1993/94,United King.,TO,I,0.5
1993/94,USA,OO,C,115.5
1993/94,USA,OO,E,2.0
1993/94,USA,OO,I,111.5
1993/94,USA,OO,P,4.5
1994/95,Algeria,OO,C,17.5
1994/95,Algeria,OO,E,0.0
1994/95,Algeria,OO,I,0.0
1994/95,Algeria,OO,P,16.5
1994/95,Argentina,OO,C,3.0
1994/95,Argentina,OO,E,4.5
1994/95,Argentina,OO,I,0.5
1994/95,Argentina,OO,P,6.5
1994/95,Australia,OO,C,19.0
1994/95,Australia,OO,E,0.0
1994/95,Australia,OO,I,19.0
1994/95,Austria,OO,C,0.2
1994/95,Austria,OO,E,0.0
1994/95,Austria,OO,I,0.0
1994/95,Austria,TO,C,0.9
1994/95,Austria,TO,E,0.0
1994/95,Austria,TO,I,0.2
1994/95,Brazil,OO,C,23.5
1994/95,Brazil,OO,E,0.0
1994/95,Brazil,OO,I,23.5
1994/95,Canada,OO,C,15.0
1994/95,Canada,OO,I,15.0
1994/95,Chile,OO,E,0.0
1994/95,Cyprus,OO,C,3.0
1994/95,Cyprus,OO,E,0.0
1994/95,Cyprus,OO,I,0.0
1994/95,Cyprus,OO,P,3.0
1994/95,Denmark,OO,C,1.1
1994/95,Denmark,OO,E,0.1
1994/95,Denmark,OO,I,0.0
1994/95,Denmark,TO,C,1.2
1994/95,Denmark,TO,E,0.0
1994/95,Denmark,TO,I,0.1
1994/95,E.B.L.U.,OO,C,4.9
1994/95,E.B.L.U.,OO,E,1.7
1994/95,E.B.L.U.,OO,I,0.3
1994/95,E.B.L.U.,TO,C,2.2
1994/95,E.B.L.U.,TO,E,0.0
1994/95,E.B.L.U.,TO,I,1.4
1994/95,Egypt,OO,C,2.0
1994/95,Egypt,OO,E,0.0
1994/95,Egypt,OO,I,1.0
